MNEMONIC,LEARNING OUTCOME
ds5110,Understand the concepts behind HDFS
ds5110,Understand the concepts behind Hive.
ds5110,Have some familiarity with running PySpark in a Databricks notebook
ds5110,"Understand how EC2 and S3 are used for computing and storage, respectively"
ds5110,Demonstrate the steps for configuring and launching an AWS EC2 instance
ds5110,Understand the capabilities of Amazon Glue and Athena
ds5110,Understand the concepts and use cases behind Apache Kafka
ds5110,Create and configure an Amazon S3 bucket
ds5110,Apply the concepts behind streaming systems
ds5110,Execute the Spark Streaming library
ds5110,Compute analytics using Spark Streaming
ds5110,Explain the properties of data lakes and data lakehouses
ds5110,"Explain the shortcomings of data lakes, and how data lakehouses address these shortcomings"
ds5110,"Work with Apache Delta lakes to implement their salient features (create, delete, update, conditional update, time travel)"
ds5110,Implement GraphX and GraphFrames in Spark
ds6001,Recognize how to get help with coding in a way that is accurate and efficient while demonstrating how to be a good citizen in online forums
ds6001,"Implement methods for acquiring electronic data in many formats: csv, flat files, json, from APIs, and using web scraping, and loading it into Python"
ds6001,"Understand the purpose, typology, and language of relational databases"
ds6001,"Understand the purpose, typology, and language of NoSQL databases"
ds6001,"Understand how to implement databases Python: SQLite, PostgreSQL, MySQL, MongoDB"
ds6001,Understand how to query databases with SQL 
ds6001,Understand how to query databases with the MongoDB query language
ds6001,"Employ methods for wrangling, joining, and aggregating data using pandas"
ds6001,"Understand relationships in data using summary statistics, hypothesis tests, measurement models"
ds6001,"Understand relationships in data using visualization with matplotlib, seaborn, plotly"
ds6002,Identify situations that demand ethical responses involving data science
ds6002,Develop the skills to respond creatively to critical ethics issues in data science
ds6003,"Build knowledge about the education and training needed for a particular job, career path, and entry into the data science profession"
ds6003,"Observe, receive information, and ask questions to acquire knowledge and awareness of data science professions"
ds6003,Relate academics with the world of work by connection data science careers to program coursework
ds6011,Collect and manage data to devise solutions to assigned research projects
ds6011,"Select, apply, and evaluate models, tools, and methods to address research projects"
ds6011,Interpret and assess results and evaluate the limitations of research findings
ds6011,"Resolve group work allocation, leadership, and cooperation issues"
ds6012,Identify situations that demand ethical responses involving data science
ds6012,Develop the skills to respond creatively to critical ethics issues in data science
ds6013,Collect and manage data to devise solutions to assigned research projects
ds6013,"Select, apply, and evaluate models, tools, and methods to address research projects"
ds6013,Interpret and assess results and evaluate the limitations of research findings
ds6013,"Resolve group work allocation, leadership, and cooperation issues"
stat6021,Use regression analysis to answer questions of interest in a wide variety of application environments
stat6021,Determine the most appropriate regression model for a given data set
stat6021,Identify the assumptions and limitations of a given regression model
stat6021,Diagnose and remedy common problems with the regression model found in real data
stat6021,Work with various data structures and primitive data types in the R programming language
stat6021,"Process R dataframes into the forms necessary for subsequent analysis including subsetting by rows, columns, condition, changing column names, removing missing values, combining dataframes with vectors"
stat6021,Use the appropriate numerical and graphical summaries based on the question of interest and type of data
stat6021,Use the statistical software R for regression analysis
stat6021,State appropriate context-specific conclusions from an analysis
stat6021,"Present and discuss orally and in writing, statistical ideas, methods, and results to lay and professional audiences"
stat6021,Work in teams to demonstrate the skills of a professional statistician in organizing and managing projects
stat6021,Describe the mathematical framework of regression models
stat6021,Describe the importance of assessing the assumptions and limitations for a given regression model
ds6030,Build classification and regression models for a given data set using R statistical software
ds6030,Explain the statistical theory used in data mining that affects how each type of model makes predictions
ds6030,"For a given data set and model, determine the optimal algorithmic parameters to customize the results of the model based on practical goals"
ds6030,"Evaluate the performance of a model in terms of various factors such as accuracy, computational cost, interpretability, and practical requirements"
ds6030,Determine the most appropriate algorithm for a given data set based on the needs of the user
ds6030,Use visualization techniques to help users understand and interpret the data mining results
ds6030,Implement KNN regression and classification models in R
ds6030,Build linear and nonlinear regression models in R
ds6030,Evaluate bias-variance tradeoff of linear regression method
ds6030,"Implement LR, LDA, and QDA classification in R"
ds6030,Implement cross-validation
ds6030,Understand the theory behind principal components
ds6030,Use principal components transformation to visualize data
ds6030,"Use regularization (shrinkage, PCA, lasso) to improve regression accuracy"
ds6030,Build a CART in R and use for both classification and regression
ds6030,Build a random forest (RF) for classification and for regression in R
ds6030,Use an SVM for classification and regression in R
ds6030,Use K-Means clustering to explore new data in R
ds6030,Use hierarchical clustering to create and evaluate clusters in R
ds6040,Probability review
ds6040,Use the elements of Bayes theorem in problem solving
ds6040,Use univariate conjugate priors to analytically obtain the posterior distribution
ds6040,Use multivariate conjugate priors to analytically obtain the posterior distribution
ds6040,Use non-informative priors to analytically obtain the posterior distribution
ds6040,Formulate real problems using the fundamentals of statistical decision theory
ds6040,Apply the principles of statistical decision theory to obtain the optimal solutions to classification problems
ds6040,Develop approximate solutions when the required assumptions for optimality in classification are not met
ds6040,Apply the principles of statistical decision theory to obtain the optimal solutions to regression problems
ds6040,Formulate a graphical representation of a joint distribution using nodes to represent conditional probabilities
ds6040,Display Bayesian models using graphs
ds6040,Represent generative models using graphs
ds6040,Apply graphical methods to real problems in text analysis
ds6040,Apply simple sampling methods to approximate distributions
ds6040,Devise Markov models for real problems with conditional dependence
ds6040,Formulate the Markov Chain Monte Carlo (MCMC) approaches to sampling
ds6040,Apply MCMC to real and complex problems in Bayesian inference
ds6040,Apply MCMC to real and complex problems in classifications.
ds6040,Apply MCMC to real and complex problems in regressions
ds6040,Use Bayes factors for model selection
ds6040,Formulate and use hierarchical models on real problems
ds6040,Use information criteria for model selection
ds6040,Formulate and use Bayesian model averaging on real problems
ds6040,Apply the expectation-maximization (EM) algorithm to problems in unsupervised learning
ds6040,Formulate problems with latent variables
ds6040,Formulate problems for solution by the EM algorithm
ds6040,Use Laplacian approximation to estimate probabilities in complex problems
ds6040,Formulate a variational approximation for a Bayesian inference problem
ds6040,Apply variational inference to problems with analytic solutions for comparisons of results
ds6040,Represent variational inference using the EM algorithm
ds6040,Use optimization methods to obtain solutions for variational approximations to real problems
ds6040,Apply evaluation methods to assess the performance of optimizations to obtain variational approximations
ds6040,Apply Markov random field models to represent problems in Bayesian machine learning
ds6040,Formulate Hidden Markov Model (HMM) solution strategies
ds6040,Apply HMMs to problems in data science
ds6040,Identify the range of applicability of methods from Bayesian machine learning to real problems in data science.
ds6040,Connect the many concepts discussed in the course to provide a foundation for continued learning
ds6050,"Create an end-to-end machine learning project at scale using open-source libraries such as NumPy, Keras, TensorFlow, and Google Cloud"
ds6050,"Formulate various supervised, unsupervised, and reinforcement learning models"
ds6050,"Apply practical skill sets on designing, deploying, and analyzing deep network architectures on complex real-world problems"
ds6050,"Use NumPy to describe, identify, and process multi-dimensional arrays and matrices."
ds6050,Identify the components of linear algebra most relevant to deep learning.
ds6050,Summarize numerical concerns for implementations of deep learning algorithms.
ds6050,Design a simple architecture of a multilayer perceptron (MLP).
ds6050,Understand how to design different activation functions to solve the vanishing/exploding gradient problem
ds6050,"Formulate several forms of regularization strategies to create a large, deep, regularized model"
ds6050,Review applications of convolutional neural networks (CNNs)
ds6050,Study the basics of recurrent neural networks (RNNs)
ds6050,Explore the shortcomings of basic RNNs and how to alleviate them with long short-term memory (LSTM) cells
ds6050,Investigate in-depth how autoencoders work and how to use them for dimensionality reduction and feature extraction
ds6050,Interpret hidden latent variables using perturbation and generate new examples
ds6050,"Explain the training process of adversarial neural networks (GANs), where two neural networks compete against each other, and its difficulties"
ds6050,Explore various applications of GANs and their recent advances
ds6050,Explore the basic components of reinforcement learning (RL) including the Markov decision process (MDP)
ds6050,Learn to solve for the optimal state-action value by using Q-Learning and Deep Q-Networks (DQNs)
ds6050,"Examine policy gradients (PGs) to directly optimize the policy, as well as a hybrid method called actor critic advantage"
ds6050,Understand how to deploy models to TF Serving and then scale up to Google Cloud AI Platform
ds6050,"Deploy models to mobile apps, embedded devices, and web apps"
ds6050,Understand how adversarial attacks work
ds6050,Explore bias in data and algorithms
ds6050,Analyze the issues in uncertainty estimation
